movie_title,sadness,joy,love,anger,fear,surprise
Hellhound_reviews,0.0417383351466722,0.8491763526366817,0.011866716098868184,0.08099135178296517,0.01433354324156729,0.001893706968985498
Hell_River_reviews,0.0727791630779393,0.5163663103245199,0.11446293505141511,0.21953428405104206,0.05214496471453458,0.024712332338094712
Hotel_Mumbai_reviews,0.19332080544420302,0.637091496744408,0.00849575253848273,0.10870840735823059,0.04354963241180835,0.00883387413341552
Hotel_Rwanda_reviews,0.0042937111866194755,0.25639321451308206,0.24369706097058952,0.23716874583624303,0.25536797422682866,0.0030793051701039076
How_to_Make_Millions_Before_Grandma_Dies_reviews,0.193092281005674,0.6794091889306026,0.026821503367768052,0.05160969865220763,0.04576162258437013,0.003305750556618852
If_Only_I_Could_Hibernate_reviews,0.1741341913315969,0.5552132203816794,0.022613231970283847,0.17018312036256808,0.03211133522339738,0.045744927250780165
Inside_reviews,0.10230604062881968,0.5701215086478947,0.010895520582885688,0.15352404913250617,0.1326261566937319,0.030526714580547478
Inside_the_Yellow_Cocoon_Shell_reviews,0.336993372364139,0.5673758589704945,0.009130448716777291,0.07256663808154619,0.012236440943194215,0.0016972568409983069
Insurgent_reviews,0.17570323121708498,0.5255588173758952,0.03747513808320946,0.17481421556294663,0.07903331773150057,0.007415273328660987
In_Between_reviews,0.007265091044246219,0.931129664182663,0.013073191803414375,0.04518484353320673,0.001965946634300053,0.0013812268152832985
In_the_Lost_Lands_reviews,0.26215906569268554,0.5563410230568566,0.011969082911188403,0.10844785307667085,0.0562221922127286,0.004860787089758863
Iron_Mask_reviews,0.17510514807266495,0.4336891283902029,0.009160921229825666,0.28745679473504426,0.06913689280627296,0.025451132744395484
I_m_Not_a_Robot_reviews,0.07646324411533507,0.6097030678231802,0.012908259631201093,0.20989734098215454,0.05659657868506786,0.034431517539945035
I_m_Still_Here_reviews,0.14122159841603465,0.5360628657741472,0.006100127267252122,0.18110292643042547,0.13212621668519983,0.0033862547167310755
I_Spit_on_Your_Grave_2_reviews,0.25142497796332464,0.47184963410254566,0.005511651001870632,0.2622504798229784,0.005818014708347618,0.003145235008560121
I__the_Executioner_reviews,0.059083065778395394,0.9155043661594391,0.0032313716365024447,0.010392288284492679,0.010169886892981594,0.001618992377188988
Jackpot_Island___Kumanthong_Returns_reviews,0.34870435632765295,0.29681866616010666,0.008527325978502632,0.3023013511672616,0.033557843021117154,0.01009047154802829
Jeepers_Creepers__Reborn_reviews,0.14883772165151588,0.48650232467266236,0.009777898386613849,0.2120474825205747,0.13611545388223878,0.006719119475318995
Killer_Mermaid_reviews,0.08806959726974707,0.7553134343840859,0.012000016002055032,0.09297318073610465,0.0484791027733026,0.003164655521907138
Kill_reviews,0.09231763853369138,0.636618152511521,0.008823701431258367,0.17924049531575292,0.019510159463747047,0.06348985493577157
Kirikou_and_the_Sorceress_reviews,0.0046847806920090485,0.9082671834362878,0.003407299091729025,0.07530328969652247,0.005565502907201234,0.0027719148913294906
KL_Special_Force_reviews,0.2184888492047321,0.171465584076941,0.2147131017409265,0.30611176445381716,0.08265983601449989,0.006560862384503707
Kronk_s_New_Groove_reviews,0.07443828444229439,0.9071447646076028,0.006007319760762833,0.006497219384817237,0.0019209795176390219,0.003991421851837499
Kung_Fu_Hustle_reviews,0.02569482046075993,0.6246841406423805,0.11632635194756505,0.20354823449937007,0.025872652244288474,0.0038738116402075523
Kursk_reviews,0.10910149867413566,0.6039079363108613,0.004490999439440202,0.05261277296813205,0.22711197457101662,0.002774837543256581
Last_Sentinel_reviews,0.20579706042772158,0.7567880659364163,0.0045176758896559475,0.024441369727719577,0.005963927117409185,0.0024919066810980437
